ใน	naj˧
กล่าวว่า	klaːw˨˩ waː˥˩
ไม้	maːj˦˥
ดนตรี	don˧ triː˧
ผู้นำ	pʰuː˥˩ nam˧
พร้อม	pʰrɔːm˦˥
จู	tɕuː˧
อิน	ʔin˧
กว้าง	kwaːŋ˥˩
สิทธิ	sit̚˨˩ tʰiʔ˦˥
ไซ	saj˧
เซลล์	seːl˧
คุ	kʰuʔ˦˥
วัง	waŋ˧
ข้าง	kʰaːŋ˥˩
วิทยาศาสตร์	wit̚˦˥ tʰa˦˥ jaː˧ saːt̚˨˩
ว่าการ	waː˥˩ kaːn˧
แพ้	pʰɛː˦˥
เล	leː˧
รุ	ruʔ˦˥
ทำหน้าที่	tʰam˧ naː˥˩ tʰiː˥˩
ขาย	kʰaːj˩˩˦
ต่อต้าน	tɔː˨˩ taːn˥˩
บิ	biʔ˨˩
จักรวรรดิ	tɕak̚˨˩ kra˨˩ wat̚˨˩
แผ่นดิน	pʰɛn˨˩ din˧
สนาม	sa˨˩ naːm˩˩˦
เดิน	dɤːn˧
หลังจากที่	laŋ˩˩˦ tɕaːk̚˨˩ tʰiː˥˩
นักเรียน	nak̚˦˥ rian˧
ก่อสร้าง	kɔː˨˩ saːŋ˥˩
คะแนน	kʰa˦˥ nɛːn˧
ทศวรรษ	tʰot̚˦˥ sa˨˩ wat̚˦˥
อาจจะ	ʔaːt̚˨˩ tɕaʔ˨˩
เชิง	tɕʰɤːŋ˧
เยอรมนี	jɤː˧ ra˦˥ ma˦˥ niː˧
ย	jɔː˧
ใช่	tɕʰaj˥˩
ค่าย	kʰaːj˥˩
ชัย	tɕʰaj˧
อุ	ʔuʔ˨˩
ทำลาย	tʰam˧ laːj˧
รอง	rɔːŋ˧
กอง	kɔːŋ˧
ดำ	dam˧
ดูแล	duː˧ lɛː˧
กรุงเทพมหานคร	kruŋ˧ tʰeːp̚˥˩ ma˦˥ haː˩˩˦ na˦˥ kʰɔːn˧
กุ	kuʔ˨˩
เจ้าหญิง	tɕaːw˥˩ jiŋ˩˩˦
ซิงเกิล	siŋ˧ kɤn˥˩
เล่ม	lem˥˩
ความสามารถ	kʰwaːm˧ saː˩˩˦ maːt̚˥˩
ราว	raːw˧
ความสัมพันธ์	kʰwaːm˧ sam˩˩˦ pʰan˧
มากมาย	maːk̚˥˩ maːj˧
อาณาจักร	ʔaː˧ naː˧ tɕak̚˨˩
รู้จัก	ruː˦˥ tɕak̚˨˩
นายกรัฐมนตรี	naː˧ jok̚˦˥ rat̚˦˥ tʰa˨˩ mon˧ triː˧
พระราชบัญญัติ	pʰra˦˥ raːt̚˥˩ tɕʰa˦˥ ban˧ jat̚˨˩
อาวุธ	ʔaː˧ wut̚˦˥
ตะ	taʔ˨˩
เป็นที่รู้จัก	pen˧ tʰiː˥˩ ruː˦˥ tɕak̚˨˩
ป่า	paː˨˩
ไฟ	faj˧
กิโลเมตร	ki˨˩ loː˧ meːt̚˦˥
ภูมิภาค	pʰuː˧ mi˦˥ pʰaːk̚˥˩
ยะ	jaʔ˦˥
มอง	mɔːŋ˧
ชอบ	tɕʰɔːp̚˥˩
ทะเล	tʰa˦˥ leː˧
